round,date,reward,wealth,AGG_ret,DBC_ret,SPY_ret,AGG_weight,DBC_weight,SPY_weight,,,,,
0,2021/2/28,76316.81264,1122137.77,-0.015181224,0.101382405,0.027805535,0.247916818,0.438946843,0.31313625,,,,,
0,2021/3/31,37586.48002,1161211.506,-0.011463093,-0.007172639,0.045399256,0.065016255,0.130896479,0.804087222,,,,,
0,2021/4/30,126390.6189,1205506.686,0.007319897,0.07826611,0.052910476,0.463553548,0.251181245,0.285265207,,,,,
0,2021/5/31,19966.12385,1219858.429,0.002038341,0.038525933,0.00656615,0.200262561,0.195425421,0.604312062,,,,,
0,2021/6/30,53182.49769,1247524.404,0.008279239,0.034946126,0.022427228,0.321431369,0.383423418,0.295145273,,,,,
0,2021/7/31,58642.57215,1263760.885,0.011165816,0.01298699,0.024412751,0.699956119,0.186028585,0.114015333,,,,,
0,2021/8/31,1483.117378,1264922.446,-0.002003814,-0.016410128,0.029759711,0.363658309,0.374476284,0.261865377,,,,,
0,2021/9/30,-25214.94275,1244893.404,-0.009172395,0.052137546,-0.046605407,0.175106406,0.245247319,0.579646349,,,,,
0,2021/10/31,109596.6897,1318898.246,-8.68E-05,0.057978249,0.070163649,0.121797636,0.177308679,0.700893641,,,,,
0,2021/11/30,-42985.8499,1253423.199,0.00270813,-0.087587789,-0.00803498,0.05694437,0.530723214,0.412332505,,,,,
0,2021/12/31,44427.48049,1288765.816,-0.003587389,0.066735119,0.046247842,0.376021177,0.033588421,0.590390384,,,,,
0,2022/1/31,-34699.56746,1274557.674,-0.019985878,0.078922011,-0.052741159,0.687116086,0.145901605,0.166982308,,,,,
0,2022/2/28,-21733.1607,1250841.805,-0.011456503,0.064674449,-0.029517215,0.357722312,0.04723727,0.595040381,,,,,
0,2022/3/31,37008.8443,1295119.894,-0.028122045,0.09174691,0.037590479,0.148199767,0.139350593,0.712449729,,,,,
0,2022/4/30,-39013.15191,1238152.861,-0.038058288,0.056408321,-0.087769123,0.125761166,0.260314763,0.613924086,,,,,
0,2022/6/30,-56606.04119,930022.1658,-0.015530077,-0.075000017,-0.082460459,0.158940807,0.247258425,0.593800783,,,,,
0,2022/7/31,59236.92491,987386.8355,0.025380393,-0.019894885,0.092087434,0.14477028,0.18529056,0.66993916,,,,,
0,2022/8/31,-27574.05527,963832.9934,-0.030422632,-0.014936792,-0.040801915,0.145172745,0.596958458,0.257868886,,,,,
0,2022/9/30,-68222.33988,892034.9587,-0.041450341,-0.070373177,-0.092445903,0.255002707,0.224245235,0.520752072,,,,,
0,2022/10/31,45993.33542,948519.5272,-0.01278453,0.050606456,0.08127558,0.151967749,0.119352937,0.728679299,,,,,
0,2022/11/30,25289.68102,978229.7762,0.038084348,0.014729295,0.055591654,0.123077951,0.541185856,0.335736185,,,,,
0,2022/12/31,-47289.73606,942158.4865,-0.008704717,-0.027115175,-0.057628289,0.327944458,0.154360861,0.517694712,,,,,
0,2023/1/31,80864.26964,982298.9176,0.033302455,0.008924958,0.06288732,0.536013246,0.081995822,0.381990969,,,,,
0,2023/2/28,-65107.81148,954805.5314,-0.026656922,-0.044632125,-0.025142637,0.891929805,0.076735958,0.031334281,,,,,
0,2023/3/31,22397.94762,968091.2284,0.026412538,-0.000841744,0.037077715,0.32484284,0.519486666,0.155670568,,,,,
0,2023/4/30,16498.06578,973388.0676,0.005755174,-0.007582163,0.015974998,0.684800923,0.148788154,0.166410863,,,,,
0,2023/5/31,-16228.27528,963948.0261,-0.011443258,-0.064091667,0.004616154,0.212484434,0.15867053,0.628845036,,,,,
0,2023/6/30,93245.30068,1008860.551,-0.003681896,0.029478491,0.064799751,0.225922018,0.077459604,0.696618378,,,,,
0,2023/7/31,35020.24017,1023536.49,-0.000153634,0.087224659,0.032733217,0.768531442,0.130082905,0.101385675,,,,,
0,2023/8/31,-18988.12629,1015489.428,-0.006313221,-0.003646731,-0.016251845,0.749945462,0.074287415,0.175767094,,,,,
0,2023/9/30,-71728.66974,978531.8775,-0.025895926,0.015046809,-0.047434539,0.223019078,0.099824771,0.67715615,,,,,
0,2023/10/31,-30561.03648,958354.8955,-0.015706598,-0.01802886,-0.021708571,0.115043417,0.108279057,0.776677489,,,,,
0,2023/11/30,110702.614,1017003.794,0.045929139,-0.024479766,0.09134375,0.279047638,0.150862575,0.570089757,,,,,
0,2023/12/31,57793.27046,1042376.202,0.036976659,-0.032912892,0.045655365,0.641104817,0.192739502,0.166155592,,,,,
0,2024/1/31,23112.45594,1057031.361,-0.001511378,0.013157915,0.015926405,0.099934526,0.044931386,0.85513407,,,,,
0,2024/2/29,18753.33552,1065104.741,-0.014745941,-0.015226189,0.05218686,0.539694548,0.124987736,0.335317701,,,,,
0,2024/3/31,71953.78793,1081946.209,0.009024904,0.0445657,0.032702102,0.771586537,0.116232485,0.112180971,,,,,
0,2024/4/30,-42159.53064,1058245.208,-0.024782278,0.016107959,-0.040319708,0.189947709,0.274023563,0.536028683,,,,,
